dv,sycophancy,anthropomorphism,mean,ci_low,ci_high
rightorwrong,Non-sycophantic,Non-anthro,3.1940298507462703,2.9700261771052148,3.418033524387326
rightorwrong,Non-sycophantic,Anthro,3.3478260869565246,3.1270927154681822,3.568559458444867
rightorwrong,Sycophantic,Non-anthro,5.263959390862949,5.037692996423784,5.490225785302114
rightorwrong,Sycophantic,Anthro,5.351758793969856,5.126632287861681,5.576885300078032
repair_score,Non-sycophantic,Non-anthro,5.157545605306803,4.939849369411255,5.37524184120235
repair_score,Non-sycophantic,Anthro,5.281803542673113,5.067285524604597,5.496321560741628
repair_score,Sycophantic,Non-anthro,3.815566835871408,3.595671592287173,4.035462079455643
repair_score,Sycophantic,Anthro,3.7286432160804086,3.509855764145141,3.9474306680156763
return_likelihood,Non-sycophantic,Non-anthro,4.1791044776119435,3.895662947519718,4.4625460077041685
return_likelihood,Non-sycophantic,Anthro,4.410628019323676,4.131324543893511,4.689931494753841
return_likelihood,Sycophantic,Non-anthro,5.005076142131985,4.718771493615126,5.291380790648844
return_likelihood,Sycophantic,Anthro,4.668341708542721,4.383479409999048,4.953204007086394
response_quality,Non-sycophantic,Non-anthro,4.805970149253733,4.569312584277258,5.042627714230209
response_quality,Non-sycophantic,Anthro,5.067632850241549,4.8344303256740915,5.300835374809006
response_quality,Sycophantic,Non-anthro,5.441624365482237,5.202576259379369,5.680672471585106
response_quality,Sycophantic,Anthro,5.281407035175886,5.0435632093081235,5.519250861043648
performance_trust_score,Non-sycophantic,Non-anthro,4.663333333333332,4.436947691909871,4.889718974756794
performance_trust_score,Non-sycophantic,Anthro,4.821951219512196,4.598343421221743,5.04555901780265
performance_trust_score,Sycophantic,Non-anthro,5.1297250859106525,4.899865293050026,5.359584878771279
performance_trust_score,Sycophantic,Anthro,4.905555555555557,4.676285904343531,5.134825206767583
moral_trust_score,Non-sycophantic,Non-anthro,4.371827411167512,4.107103382516337,4.636551439818687
moral_trust_score,Non-sycophantic,Anthro,4.7821895424836605,4.522046992618926,5.042332092348395
moral_trust_score,Sycophantic,Non-anthro,4.9774611398963735,4.71000792540244,5.244914354390307
moral_trust_score,Sycophantic,Anthro,4.760204081632653,4.494805595764419,5.025602567500888
